Symbol,Beta,VolAvg,MktCap,LastDiv,companyName,currency,exchange,exchangeShortName,industry,website,description,CEO,sector,country,fullTimeEmployees,phone,address,city
EMBASSY.NS,0,916976,"9,223,372,036,854,770,000.00",21.45,Embassy Office Parks REIT,,YHD,NSE,,,,,,US,,,,
RELIANCE.NS,1.008849,6216264,"16,897,045,168,128.00",7,Reliance Industries Limited,INR,NSE,NSE,Oil & Gas Refining & Marketing,https://www.ril.com,"Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, textile, retail, digital, and financial services businesses worldwide. The company produces and markets petroleum products, such as liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosene oil, diesel, Sulphur, and petroleum coke. It also provides petrochemicals, including high-density and low-density polyethylene (PE), linear low density PE, polyester fibers and yarns, polypropylene, polyvinyl chloride, polyester yarn, purified terephthalic acid, ethylene glycols and oxide, paraxylene, ortho xylene, benzene, linear alkyl benzene and paraffin, poly butadiene rubber, styrene butadiene rubber, butyl rubber, and polyethylene terephthalate. In addition, the company manufactures and markets yarns, fabrics, apparel, and auto furnishings; explores, develops, and produces crude oil and natural gas; and operates various stores comprising neighborhood, supermarket, hypermarket, wholesale cash and carry, specialty, online, pharmacy, and grocery stores, as well as stores that offer apparel, beauty and cosmetics, accessories, footwear, consumer electronics, connectivity products, and others. As of March 31, 2021, it operated 12,711 retail stores. Further, it provides range of digital services under the Jio brand name; and non-banking financial and insurance broking services. Further, it operates news and entertainment platforms, finance portals, fashion and lifestyle portals, and online ticket booking platforms, as well as Network18 and television channels; publishes magazines; and offers highway hospitality and fleet management services. The company was incorporated in 1973 and is based in Mumbai, India.",,Energy,IN,236334,912222785000,"Maker Chambers IV, 3rd Floor, 222, Nariman Point",Mumbai
TCS.NS,0.677876,2375079,"14,380,796,215,296.00",35,Tata Consultancy Services Limited,INR,NSE,NSE,Information Technology Services,https://www.tcs.com,"Tata Consultancy Services Limited provides information technology (IT) and IT enabled services worldwide. The company operates through Banking, Financial Services and Insurance; Manufacturing; Retail and Consumer Business; Communication, Media and Technology; and Others segments. It offers CHROMA, a cloud-based talent management solution; ignio, a cognitive automation software product; TCS iON, an assessment platform; TAP, a procurement offering; TCS MasterCraft, a platform to automate and manage IT processes; Quartz, a blockchain solution; and TCS OmniStore, a commerce platform. The company also provides customer intelligence and insight solutions; Intelligent Urban Exchange, an integrated software to accelerate smart city programs; OPTUMERA, a digital merchandising suite; TCS BaNCS, a financial platform; and Jile, an agile DevOps product. In addition, it offers advanced drug development and connected intelligent platforms; ERP on cloud, an enterprise solution; and HOBS, a platform for subscription based digital business. Further, the company provides cognitive business, consulting, analytics, automation and artificial intelligence, Internet of Things, cloud applications, blockchain, cloud infrastructure, cyber security, interactive, industrial and quality engineering, and enterprise services. It serves banking, financial, and public services; consumer goods and distribution; insurance; life sciences and healthcare; manufacturing, retail; hi-tech; travel, transportation, and hospitality industries; communications, media, and technology industries; and energy, resource, and utility industries. It has strategic partnerships with Bharti Airtel Limited for implementing 5G networks in India; Google LLC for launching Google Garages; and NICE Ltd. to expand markets for financial crime solutions. The company was founded in 1968 and is headquartered in Mumbai, India. Tata Consultancy Services Limited is a subsidiary of Tata Sons Private Limited.",Mr. Rajesh Gopinathan,Technology,IN,528748,912267789999,9th Floor Nirmal Building Nariman Point,Mumbai
HDFCBANK.NS,0.891592,5802109,"8,669,976,592,384.00",6.5,HDFC Bank Limited,INR,NSE,NSE,Banks—Regional,https://www.hdfcbank.com,"HDFC Bank Limited provides various banking and financial services to individuals and businesses in India, Bahrain, Hong Kong, and Dubai. It operates in Treasury, Retail Banking, Wholesale Banking, Other Banking Business, and Unallocated segments. The company accepts savings, salary, current, rural, public provident fund, pension, and Demat accounts; fixed and recurring deposits; and safe deposit lockers; as well as offshore accounts and deposits, overdrafts against fixed deposits, and sweep-in facilities. It also provides personal, home, car, two wheeler, business, educational, gold, consumer, and rural loans; loans against properties, securities, rental receivables, and assets; loans for professionals; government sponsored programs; and loans on credit card, as well as working capital and commercial/construction equipment finance, healthcare/medical equipment and commercial vehicle finance, dealer finance, and term and professional loans. In addition, the company offers credit, debit, prepaid, and forex cards; payment and collection, export, import, remittance, bank guarantee, letter of credit, trade, hedging, and merchant and cash management services; and insurance and investment products. Further, it provides short term finance, bill discounting, structured finance, export credit, loan syndication, and documents collection services; online and wholesale, mobile, and phone banking services; unified payment interface, immediate payment, national electronic funds transfer, and real time gross settlement services; and channel financing, vendor financing, reimbursement account, money market, derivatives, employee trusts, cash surplus corporates, tax payment, and bankers to rights/public issue services, as well as financial solutions for supply chain partners and agricultural customers. As of March 31, 2021, it had 5,608 branches and 16,087 automated teller machines in 2,902 cities/towns. HDFC Bank Limited was incorporated in 1994 and is based in Mumbai, India.",,Banking,IN,129341,917573919585,"Hdfc Bank House', Senapati Bapat Road, Lower Parel (West)",Mumbai
INFY.NS,0.646902,5695956,"7,835,969,126,400.00",30,Infosys Limited,INR,NSE,NSE,Information Technology Services,https://www.infosys.com,"Infosys Limited, together with its subsidiaries, provides consulting, technology, outsourcing, and next-generation digital services in North America, Europe, India, and internationally. It provides application development and management, independent validation, product engineering and management, infrastructure management, enterprise application management, and support and integration services. The company's products and platforms include Finacle, a core banking solution; Edge suite of products; Infosys Nia, an artificial intelligence platform; Infosys McCamish - an insurance platform; Wingspan, a customizable learning platform; Stater mortgage servicing platform; Panaya automation suite; and Skava, an e-commerce suite. The company serves clients in the financial services and insurance, life sciences and healthcare, manufacturing, retail, consumer packaged goods and logistics, hi-tech, communications, telecom OEM, media, energy, utilities, resources, services, and other industries. It has collaboration agreements with Rolls-Royce, BP plc, Newmont Corporation, RXR Realty, Majesco Limited, and Centre for Accessibility Australia; and a strategic partnership with The Economist Group Limited to enable and enhance sustainability solutions through a business-to-business model. The company was formerly known as Infosys Technologies Limited and changed its name to Infosys Limited in June 2011. Infosys Limited was incorporated in 1981 and is headquartered in Bengaluru, India.",Mr. Salil Parekh,Technology,IN,279617,918028520261,"Electronics City, Hosur Road",Bangalore
ICICIBANK.NS,1.020796,15834298,"5,705,095,970,816.00",2,ICICI Bank Limited,INR,NSE,NSE,Banks—Regional,https://www.icicibank.com,"ICICI Bank Limited provides various banking products and financial services in India and internationally. It operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life insurance, General insurance, and Others segments. The company offers savings, salary, pension, current, and other accounts; and fixed, recurring, and security deposits. It also provides home, car, two wheeler, personal, gold, and commercial business loans, as well as loans against securities and other loans; business loans, such as working capital finance, term loans, collateral free loans, loans without financials, finance for importers and exporters, and secured loans for credit card swipes, as well as loans for new entities, and schools and colleges; and credit, debit, prepaid, travel, and corporate cards. In addition, the company offers insurance products; pockets wallet; fixed income products; investment products, such as mutual funds, gold monetization schemes, and initial public offerings, as well as other online investment services; and farmer finance, tractor loans, and micro banking services, as well as other services to agri traders and processors, and agri corporates. Further, it provides portfolio management, trade, foreign exchange, locker, private and NRI banking, and cash management services; family wealth and demat accounts; commercial and investment banking, capital market, custodial, project and technology finance, and institutional banking services, as well as Internet, mobile, and phone banking services. Additionally, the company offers securities investment, broking, trading, and underwriting services; and merchant banking, trusteeship, housing finance, and pension fund management services. As of March 31, 2021, it had a network of 5,266 branches, 14,136 ATMs, 1,786 insta-banking kiosks, and 2,713 cash acceptance machines. ICICI Bank Limited was founded in 1955 and is headquartered in Mumbai, India.",Mr. Sandeep Bakhshi,Banking,IN,98750,912226538900,"ICICI Bank Towers, Bandra-Kurla Complex",Mumbai
HINDUNILVR.NS,0.017256,1631304,"5,666,508,898,304.00",32,Hindustan Unilever Limited,INR,NSE,NSE,Household & Personal Products,https://www.hul.co.in,"Hindustan Unilever Limited, a consumer goods company, manufactures and sells home and personal care, food, and refreshment products in India and internationally. The company operates through Home Care, Beauty & Personal Care, Foods & Refreshment, and Others segments. The Home Care segment offers detergent bars and powders, detergent liquids, scourers, water business, purifiers business, etc. The Beauty & Personal Care segment provides oral, skin, and hair care products, as well as soaps, deodorants, talcum powder, color cosmetics, salon services, etc. The Foods & Refreshment segment provides staples, including atta, salt, bread, etc.; and culinary products, such as tomato based products, fruit based products, soups, etc., as well as tea, coffee, health food drinks, ice-creams, and frozen desserts. The Others segment offers infant care products and exports products. The company also engages in the beauty salons, job work, discharge trust, and real estate businesses. It provides its foods and refreshment products under the Boost, Cornetto, HELLMANN'S, Horlicks, Knorr, Lipton, Magnum, BRU, Annapurna, Brooke Bond 3 Roses, Brooke Bond Red Label, Brooke Bond Taaza, Brooke Bond Taj Mahal, Kissan, and Kwality Wall's brands; and home care products under the Cif, Comfort, Active Wheel, Domex, Rin, Surf excel, Vim, love & care, nature protect, and Sunlight brands. The company offers its beauty and personal care products under the Axe, Dove, Lifebuoy, LOVE beauty AND planet, Lux, Pepsodent, Pond's, Sunsilk, Sure, TRESemmÃ©, Vaseline, aviance, Breeze, Citra, Clear, Closeup, Fair & Lovely, LakmÃ©, Pears, TIGI, TONI & GUY, Brylcreem, Clinic Plus, ELLE 18, Glow & Handsome, Hamam, ayush, Indulekha, Liril, Pure Derm, VWASH Plus, and Rexona brands; and water purifiers under the Pureit brand. The company was founded in 1888 and is headquartered in Mumbai, India. Hindustan Unilever Limited operates as a subsidiary of Unilever Plc.",Mr. Sanjiv Mehta,Consumer products,IN,21000,912239832285,"Unilever House, B. D. Sawant Marg, Chakala, Andheri (E)",Mumbai
HDFC.NS,0.916371,3037480,"4,967,781,892,096.00",23,Housing Development Finance Corporation Limited,INR,NSE,NSE,Mortgage Finance,https://www.hdfc.com,"Housing Development Finance Corporation Limited provides housing finance to individuals and corporate customers in India. It operates through Loans, Life Insurance, General Insurance, Asset Management, and Others segments. The company accepts fixed deposits, such as monthly income plans, non-cumulative interest plans, annual income plans, and cumulative options; and trust deposits. It offers loans for the purchase and construction of houses; home improvement and extension, plot, and top-up loans; loans to agriculturists, planters, horticulturists, and dairy farmers; loans for the salaried/self-employed individuals; loans for non-resident Indians; loans against property; and loans for non-residential premises and commercial plots, as well as education loans. In addition, the company provides cross-selling products and services; investment advisory services; life insurance products; general insurance products, including motor, health, travel, crop, home, personal accident, property, marine, aviation, and liability insurance; venture capital funds; asset management services comprising portfolio management, mutual fund, and property investment management; and other services consisting of project management, investment consultancy, and property related services. As of June 30, 2021, it operated through a network of 603 offices; and 3 representative offices in Dubai, London, and Singapore. The company was incorporated in 1977 and is based in Mumbai, India.",Mr. Keki Mistry,Financial Services,IN,3226,912266316000,"Ramon House, 169, Backbay Reclamation",Mumbai
BAJFINANCE.NS,1.255309,1133604,"4,738,242,838,528.00",10,Bajaj Finance Limited,INR,NSE,NSE,Credit Services,https://www.bajajfinserv.in/corporate-bajaj-finance,"Bajaj Finance Limited operates as a non-banking financial company in India. The company offers consumer durable, lifestyle, lifecare, digital product, two and three wheeler, developer, used car, medical equipment, vendor, light engineering, specialty chemicals, financial institution, corporate, and warehouse finance services; IPO and margin trading finance, trading account, depository, and HNI and retail broking services; personal, gold, home, business, working capital, secured enterprise, and professional loans; and loan against fixed deposits, shares, properties, and securities. It also provides life, general, and health insurance, as well as pocket insurance products; extended warranty, e-commerce, and lease rental discounting services; financial fitness reports; and EMI cards, and co-branded credit cards and wallets, as well as offers investment services, such as systematic deposit plan, fixed and term deposits, and mutual funds. The company was formerly known as Bajaj Auto Finance Limited and changed its name to Bajaj Finance Limited in September 2010. The company was incorporated in 1987 and is based in Pune, India. Bajaj Finance Limited is a subsidiary of Bajaj Finserv Limited.",Mr. Atul Jain,Financial Services,IN,28546,918698010101,"4th Floor, Bajaj Finserv Corporate Offc, Off Pune-Ahmednagar Road, Viman Nagar",Pune
SBIN.NS,1.007522,20159321,"4,572,969,959,424.00",4,State Bank of India,INR,NSE,NSE,Banks—Regional,https://www.sbi.co.in,"State Bank of India provides various banking products and services to individuals, commercial enterprises, corporates, public bodies, and institutional customers in India and internationally. The company operates through Treasury, Corporate/Wholesale Banking, Retail Banking, Insurance Business, and Other Banking Business segments. It offers personal banking products and services, including current accounts, savings accounts, term deposits, and recurring deposits; home, auto, education, gold, and personal loans, as well as loans against property and securities; and wealth management, mobile and internet banking, demat, foreign inward remittance, safe deposit locker, public provident fund, money transfer, pension policy, and mobile wallet services, as well as cards and inflation indexed national savings securities cumulative bonds. The company also provides corporate banking products and services comprising corporate accounts, working capital and project finance, term loans, deferred payment guarantees, corporate loans, structured finance, dealer and channel financing, equipment leasing, loan syndication, construction equipment loans, financing Indian firms' overseas subsidiaries or JVs, and cash management, as well as export and cash, and letters of credit products. In addition, it offers NRI services, including accounts and deposits, remittances, investments, and loans; agricultural banking and micro credit to agriculturists and farmers; supply chain finance, and deposits and transaction banking services for SME customers; and international banking services. Further, the company provides treasury, broking, bill payment, and MICR services; and credit cards, life and non-life insurance, mutual funds, merchant banking, trustee business, factoring, security trading, pension fund management, and custody services. As of March 31, 2021, it operated 22,219 branches and 62,617 ATMs. The company was founded in 1806 and is headquartered in Mumbai, India.",,Banking,IN,245652,912222740841,"Corporate Centre, State Bank Bhavan, Madame Cama Road",Mumbai
